,date,W/L,team_name,Opponent
125,01/01/2014,W,wtennis,
126,01/01/2014,L,wtennis,
127,01/01/2014,L,wtennis,
128,01/01/2014,L,wtennis,
129,01/01/2014,L,wtennis,
130,01/01/2014,L,wtennis,
131,01/01/2014,L,wtennis,
132,01/01/2014,L,wtennis,
133,01/01/2014,L,wtennis,
134,01/01/2013,W,wtennis,
135,01/01/2013,W,wtennis,
136,01/01/2013,W,wtennis,
137,01/01/2013,W,wtennis,
138,01/01/2013,W,wtennis,
139,01/01/2013,W,wtennis,
140,01/01/2013,W,wtennis,
141,01/01/2013,W,wtennis,
142,01/01/2013,L,wtennis,
143,01/01/2013,L,wtennis,
144,01/01/2013,L,wtennis,
145,01/01/2013,L,wtennis,
146,01/01/2013,L,wtennis,
147,01/01/2013,L,wtennis,
148,01/01/2013,L,wtennis,
149,01/01/2012,W,wtennis,
150,01/01/2012,W,wtennis,
151,01/01/2012,W,wtennis,
152,01/01/2012,W,wtennis,
153,01/01/2012,W,wtennis,
154,01/01/2012,L,wtennis,
155,01/01/2012,L,wtennis,
156,01/01/2012,L,wtennis,
157,01/01/2012,L,wtennis,
158,01/01/2012,L,wtennis,
159,01/01/2012,L,wtennis,
160,01/01/2012,L,wtennis,
161,01/01/2012,L,wtennis,
162,01/01/2012,L,wtennis,
163,01/01/2012,L,wtennis,
164,01/01/2012,L,wtennis,
165,01/01/2012,L,wtennis,
